started	session	models	calls	span	active	input	cache_create	cache_read	output
2026-09-19T16:33:32	3ca9644f-b040-44e6-b3fe-0d9fb5387a5c	claude-opus-5	115	00:50:45	00:29:55	230	405120	14978630	68547
2026-09-19T17:08:08	17ec578c-ac4e-45e3-b21f-3d41c2793982	claude-opus-5	117	01:40:41	00:35:17	234	320791	15314986	73568
2026-09-19T17:14:49	a69ac497-c427-4298-9305-0240b45e0df2	claude-opus-5	76	01:47:04	00:27:02	152	280727	9280200	48270
2026-09-19T17:16:37	149924b2-58cd-4c32-be95-e566133e1f6e	claude-opus-5	177	02:06:20	01:14:14	354	424498	21601520	122373
2026-09-19T17:17:45	7d5f125e-971e-4b7c-96c6-dd62d118304c	claude-opus-5	70	00:36:26	00:26:56	140	224496	8323331	53919
2026-09-19T19:29:24	55c8389f-0a1a-4f06-957c-d402edea0c28	claude-opus-5	69	00:12:49	00:12:49	138	175922	8958308	24791
2026-09-19T19:43:15	a4c4ba17-c9e6-407f-ab3b-ed0e953b6975	claude-opus-5	32	00:07:09	00:07:09	64	75706	3422648	12209
2026-09-19T19:51:42	35c71502-1e2a-4dd7-9277-847e9e71a450	claude-opus-5	41	00:08:31	00:08:31	82	89945	4654363	17065
2026-09-19T20:01:07	728ef685-a6e0-47b4-8d2e-ffd6ea9c3441	claude-opus-5	49	00:11:09	00:11:09	98	94491	5818058	18655
2026-09-19T20:29:29	40f052a1-f587-4b85-8662-40387d87edf4	claude-sonnet-5	81	00:16:07	00:16:07	162	215400	10941566	31490
2026-09-19T21:09:38	b7c49e86-342f-4132-8201-6f50291157f2	claude-sonnet-5	6	00:02:31	00:02:31	12	60311	600947	5951
2026-09-19T21:13:54	5d08b859-f627-4702-ad46-5592f9056f49	claude-sonnet-5	93	09:18:58	00:30:54	186	344236	11993339	45397
